,Response,Concrete
218,"I feel isolated and lonely.  Therefore my self worth is declining.  I feel depressed, a little suicidal.  I think I need to reach out to my neighbors.  I ring them and say â€œIâ€™m strugglingâ€, would love some company.  My neighbour organised every morning at 11am someone on my street To drop over some lunch and an activity to do ex a jigsaw, or a mind puzzle.  My mind is being active which makes me feel positive.  I ring my family and my niece teachers me how to use zoom, it has now given me the confidence to organize my own zoom with my new neighbour friends.",High
656,"I went to visit my sister and check on her as well as have the close connection, while observing the social distancing rules. At first I told her I was a bit reluctant to visit because she has Rheumatoid Arthritis and is at a higher risk. She said she was on the anti malaria medication they are trialing as a treatment for COVID 19. I went to visit her and it was great to connect and watch a movie together.  I had message and FaceTime calls with friends and that was a great thing to do. I had started cleaning out my house and simplifying my life, granted I was unable to actually get rid of unwanted things that I couldnâ€™t fit in the bin, but I have pile of things I want to dispose of. I was connecting with my students via Zoom and doing classes for them, that was great because I got to see how they are all going and have a different kind of connection. Then I came up with an idea about a possible way to deliver online content that could be purchased as an add on to regular training when we return to normal life and training again. It was at that time, I received an email from my old business coach. I was undecided at first, but I had an invitation to a free webinar with him, as a way of assisting fitness professionals during COVID 19. I joined the free webinar and got quite a bit from it. I then decided it was in my best interest to pursue the of avenue further development of my idea, as the one thing I did have was time. I Had a private session with him Via zoom and told him about my idea. He thought it was a sound idea, so after some financial consideration by me, I decided to sign up with him again. I am now in the process of working on my idea and have spoken to him a few times, this has given me the opportunity to have more personal interactions. My boss is retiring tomorrow, so we were trying to workout what to do for him, I suggested we do a zoom catch up for drinks. We did that tonight and it was great to catch with my work colleagues and wish my boss the best in his retirement. I am feeling well connected to my family, friends and work colleagues, thanks to messaging, FaceTime and zoom applications. ",High
965,I would think about who I haven't connected with recently and I'd send them a message. I would contact a friend and organise a date either via zoom or (socially distanced) face to face.,Low
17,"1. I would make a list of all the people I know who I think I would like to connect with 
2. I would message those people and ask if they would like to video chat, text or email in a regular basis to keep in contact
3. I would keep a regular schedule of phone calls or video calls with these people in order to keep connected and stick to a routine ",High
828,"I would think about the friends and family that I can connect with. I'd think about the methods in which we can communicate, digitally or face-to-face. I would then try and organise this, online or in real life. If it is not possible currently, I would call them and talk on the phone. ",Low
1060,"I am feeling isolated and lonely.  If I am isolating at home, I would look through my phone contact list and see who I haven't had a chance to talk/text with lately.  I would make a list and start making phones calls or sending a message.  I would also make an arrangement to meet up with a friend usually for a run or a bike ride and then we could have a coffee afterwards.  I could also look at any hobbies/interests I have and research what groups are available near me that I could consider contacting.  I would arrange to visit my parents or siblings that live in the same town.  After going for a run with a friend and a coffee.  Ringing a friend I haven't spoken to for awhile and making plans to join a hobby group I feel more connected and closer to people.",Medium
452,"To feel more connected.
Two options come to mind - a video one on one or group video with friends or asking a friend to go for a walk or bike ride. 
I'm a bit hesitant to reach out because I know others are busy or I don't want to burden others. But I have one or two extroverted friends that I feel comfortable inviting to connect with.
I would send messages to friends individually and see how they are and ask if they would like a video chat or suggest a walk. 
I know some friends including me are sick of video calls from overdoing them at work. 
If I get a positive response I'd organise the video or walk. 
",Low
630,"Actively connect with other people (call/message/text), make plans, ie for a socially distant walk or a video chat ",Medium
577,"If I was feeling isolated and lonely, I would contact my next door neighbour to have a coffee and a chat. I do have several friends who live within a couple of blocks who I can interact with taking into consideration the social distancing. We would have a chat and a laugh and probably take the dogs out for a walk. This interaction is sufficient to feel loved and appreciated by others. ",High
404,"Looking  at my current options I would select, optimise and comprise considering the current pandamic guidelines.  I would garden outside in my front garden, which I enjoy, to engage with neigbours and passing foot traffic. I would look forward to meeting new people as well as catching up with locals that I havent seen lately except through my window. I want to know how others outside of my family are coping and if they need assistance.
I would download Zoom to chat to other volunteers who I have not seen since our volunteering has been put on hold and am anticipating working with in the near future. I feel that by putting myself out there that I would be engaging with the community and  ready to step back into society with a sense of confidence that I have worked my way through what could have been a very stressful time. 
",High
