"Participant","Duration.x","Date.x","Image_Action.x","Image_People.x","Image_Emotion.x","Image_Vivid.x","Rater2.x","Q1","Q2","Q3","Q4","Q1.new","Q2.new","Q3.new","Q4.new","Steps","Effective","Concrete","Emotion"
1,1791,"16/04/2020 7:59","Sometimes","Most of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
2,1396,"16/04/2020 9:08","About half the time","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","",2,2,3,3,2,2,3,3,2,2,3,3
3,931,"16/04/2020 15:50","Sometimes","About half the time","Sometimes","Dim & vague, flat","",3,4,3,3,3,4,3,3,3,4,3,3
4,4228,"16/04/2020 19:53","Sometimes","Most of the time","Most of the time","Clear and lively","",3,4,4,4,3,4,4,4,3,4,4,4
5,2773,"16/04/2020 20:21","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",4,3,4,3,4,3,4,3,4,3,4,3
6,1278,"16/04/2020 20:53","Not at all","Sometimes","Not at all","No image at all, you only “know” that you are thinking of the object","",3,3,4,3,3,3,4,3,3,3,4,3
7,1271,"16/04/2020 21:12","About half the time","Sometimes","About half the time","Dim & vague, flat","LL",3,2,3,3,1.5,1,1.5,1.5,1.5,1,1.5,1.5
8,755,"16/04/2020 21:34","About half the time","All/almost all of the time","About half the time","Moderately clear and lively","CP",10,9,8,7,5,4.5,4,3.5,5,4.5,4,3.5
9,10151,"17/04/2020 0:25","About half the time","Most of the time","Sometimes","Moderately clear and lively","",4,4,3,3,4,4,3,3,4,4,3,3
10,740,"17/04/2020 0:59","Sometimes","Sometimes","Sometimes","Moderately clear and lively","CP",4,3,3,3,2,1.5,1.5,1.5,2,1.5,1.5,1.5
11,3414,"17/04/2020 1:57","About half the time","","","","",9,8,8,7,9,8,8,7,9,8,8,7
12,2528,"17/04/2020 4:13","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",6,3,3,3,6,3,3,3,6,3,3,3
13,666,"17/04/2020 4:18","About half the time","All/almost all of the time","All/almost all of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
14,52130,"17/04/2020 10:00","Sometimes","About half the time","Most of the time","Moderately clear and lively","KH",4,5,5,5,2,2.5,2.5,2.5,2,2.5,2.5,2.5
15,1395,"17/04/2020 18:15","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",4,3,5,2,4,3,5,2,4,3,5,2
16,468,"17/04/2020 20:47","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
17,792,"17/04/2020 20:51","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",3,4,5,4,3,4,5,4,3,4,5,4
18,1468,"18/04/2020 4:43","Most of the time","Sometimes","About half the time","Moderately clear and lively","",2,5,5,5,2,5,5,5,2,5,5,5
19,828,"18/04/2020 5:13","All/almost all of the time","Most of the time","Sometimes","Clear and lively","",7,8,7,6,7,8,7,6,7,8,7,6
20,668,"18/04/2020 6:33","Not at all","Most of the time","Not at all","Moderately clear and lively","",3,3,4,3,3,3,4,3,3,3,4,3
21,5260,"18/04/2020 6:53","Not at all","Sometimes","Not at all","No image at all, you only “know” that you are thinking of the object","",5,3,3,2,5,3,3,2,5,3,3,2
22,451,"18/04/2020 8:42","Sometimes","Sometimes","Sometimes","Moderately clear and lively","JS",5,8,5,8,2.5,4,2.5,4,2.5,4,2.5,4
23,762,"18/04/2020 19:24","Sometimes","About half the time","Sometimes","Moderately clear and lively","",3,2,2,1,3,2,2,1,3,2,2,1
24,1668,"18/04/2020 21:47","About half the time","About half the time","Most of the time","Moderately clear and lively","",6,8,9,6,6,8,9,6,6,8,9,6
25,703,"18/04/2020 23:31","Not at all","About half the time","About half the time","No image at all, you only “know” that you are thinking of the object","LL",3,2,2,4,1.5,1,1,2,1.5,1,1,2
